CATEGORIA;ene-15;feb-15;mar-15;abr-15;may-15;jun-15;jul-15;ago-15;sept-15;oct-15;nov-15;dic-15;ene-16;feb-16;mar-16;abr-16;may-16;jun-16;jul-16;ago-16;sept-16;oct-16;nov-16;dic-16;ene-17;feb-17;mar-17;abr-17;may-17;jun-17;jul-17;ago-17;sept-17;oct-17;nov-17;dic-17;ene-18;feb-18;mar-18;abr-18;may-18;jun-18;jul-18;ago-18;sept-18;oct-18;nov-18;dic-18;ene-19;feb-19;mar-19;abr-19;may-19;jun-19;jul-19;ago-19;sept-19;oct-19;nov-19;dic-19;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sept-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sept-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sept-25;oct-25;nov-25;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;
OPERARIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;8.606;9.036;9.036;9.534;9.534;15.114;10.076;10.732;10.732;11.450;11.450;17.175;11.450;12.024;12.024;12.624;12.624;20.109;13.406;14.534;14.534;14.534;15.698;23.547;15.698;16.326;16.326;16.978;16.978;17.766;17.766;18.654;18.654;19.700;19.700;29.550;19.700;21.080;21.080;21.080;21.080;33.096;22.656;23.640;23.640;24.626;25.216;39.006;27.580;29.510;29.510;31.280;31.280;48.843;32.562;34.518;34.518;36.486;38.602;57.903;41.304;41.304;45.434;45.434;47.706;71.559;50.092;50.092;52.596;52.596;55.752;83.628;59.656;62.638;62.638;62.638;65.770;98.655;72.346;72.346;77.628;77.628;83.294;124.941;89.334;93.800;93.800;93.800;98.490;158.817;116.466;116.466;128.112;140.922;155.014;245.310;179.894;179.894;201.480;201.480;229.690;344.535;264.144;298.482;328.330;371.014;404.404;673.332;561.112;673.336;754.136;833.400;900.072;1.404.111;936.074;1.029.682;1.029.682;1.112.056;1.112.056;1.701.450;1.213.700;1.213.700;1.242.829;1.287.570;1.287.570;1.969.983;1.359.288;1.359.288;1.359.288;1.454.438;1.454.438;2.181.657;1.454.438;1.454.438;1.454.438;1.454.438;1.454.438;2.181.657;1.454.438;1.454.438;1.454.438;1.454.438;1.454.438;2.181.657;
13;8.948;9.394;9.394;9.912;9.912;15.714;10.476;11.158;11.158;11.906;11.906;17.859;11.906;12.500;12.500;13.126;13.126;20.910;13.940;15.112;15.112;15.112;16.320;24.480;16.320;16.974;16.974;17.652;17.652;18.472;18.472;19.394;19.394;20.482;20.482;30.723;20.482;21.916;21.916;21.916;21.916;34.410;23.556;24.580;24.580;25.604;26.218;40.557;28.676;30.684;30.684;32.526;32.526;50.790;33.860;35.888;35.888;37.934;40.134;60.201;42.944;42.944;47.238;47.238;49.600;74.400;52.080;52.080;54.684;54.684;57.966;86.949;62.024;65.124;65.124;65.124;68.382;102.573;75.218;75.218;80.710;80.710;86.602;129.903;92.880;97.524;97.524;97.524;102.400;165.120;121.088;121.088;133.198;146.518;161.168;255.051;187.036;187.036;209.480;209.480;238.808;358.212;274.630;310.332;341.366;385.742;420.460;700.065;583.388;700.066;784.074;866.400;935.800;1.459.800;973.200;1.070.520;1.070.520;1.156.162;1.156.162;1.768.920;1.261.840;1.261.840;1.292.124;1.338.641;1.338.641;2.048.118;1.413.202;1.413.202;1.413.202;1.512.126;1.512.126;2.268.189;1.512.126;1.512.126;1.512.126;1.512.126;1.512.126;2.268.189;1.512.126;1.512.126;1.512.126;1.512.126;1.512.126;2.268.189;
14;9.306;9.772;9.772;10.310;10.310;16.347;10.898;11.606;11.606;12.324;12.324;18.486;12.324;13.002;13.002;13.652;13.652;21.747;14.498;15.718;15.718;15.718;16.976;25.464;16.976;17.654;17.654;18.360;18.360;19.212;19.212;20.174;20.174;21.306;21.306;31.959;21.306;22.796;22.796;22.796;22.796;35.793;24.500;25.566;25.566;26.632;27.270;42.183;29.828;31.916;31.916;33.830;33.830;52.827;35.218;37.330;37.330;39.458;41.746;62.619;44.668;44.668;49.136;49.136;51.592;77.388;54.172;54.172;56.880;56.880;60.294;90.441;64.514;67.740;67.740;67.740;71.126;106.689;78.240;78.240;83.950;83.950;90.080;135.120;96.610;101.440;101.440;101.440;106.512;171.753;125.952;125.952;138.546;152.402;167.642;265.293;194.548;194.548;217.894;217.894;248.400;372.600;285.660;322.796;355.076;401.236;437.346;728.181;606.818;728.182;815.564;901.200;973.296;1.518.342;1.012.228;1.113.450;1.113.450;1.202.526;1.202.526;1.839.870;1.312.440;1.312.440;1.343.939;1.392.320;1.392.320;2.130.249;1.469.872;1.469.872;1.469.872;1.572.764;1.572.764;2.359.146;1.572.764;1.572.764;1.572.764;1.572.764;1.572.764;2.359.146;1.572.764;1.572.764;1.572.764;1.572.764;1.572.764;2.359.146;
15;9.690;10.174;10.174;10.734;10.734;17.037;11.358;12.084;12.084;12.892;12.892;19.338;12.892;13.538;13.538;14.214;14.214;22.644;15.096;16.364;16.364;16.364;17.674;26.511;17.674;18.382;18.382;19.116;19.116;20.004;20.004;21.004;21.004;22.182;22.182;33.273;22.182;23.734;23.734;23.734;23.734;37.266;25.508;26.618;26.618;27.728;28.392;43.920;31.054;33.228;33.228;35.222;35.222;54.999;36.666;38.866;38.866;41.082;43.464;65.196;46.508;46.508;51.158;51.158;53.714;80.571;56.400;56.400;59.220;59.220;62.774;94.161;67.168;70.526;70.526;70.526;74.052;111.078;81.458;81.458;87.404;87.404;93.786;140.679;100.584;105.614;105.614;105.614;110.894;178.818;131.132;131.132;144.246;158.670;174.538;276.207;202.552;202.552;226.858;226.858;258.618;387.927;297.410;336.080;369.688;417.748;455.344;758.280;631.778;758.134;849.110;938.400;1.013.472;1.581.015;1.054.010;1.159.400;1.159.400;1.252.152;1.252.152;1.915.800;1.366.600;1.366.600;1.399.398;1.449.777;1.449.777;2.218.161;1.530.540;1.530.540;1.530.540;1.637.678;1.637.678;2.456.517;1.637.678;1.637.678;1.637.678;1.637.678;1.637.678;2.456.517;1.637.678;1.637.678;1.637.678;1.637.678;1.637.678;2.456.517;
MANTENIMIENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;9.306;9.772;9.772;10.310;10.310;16.347;10.898;11.606;11.606;12.384;12.384;18.576;12.384;13.002;13.002;13.652;13.652;21.747;14.498;15.718;15.718;15.718;16.976;25.464;16.976;17.654;17.654;18.360;18.360;19.212;19.212;20.174;20.174;21.306;21.306;31.959;21.306;22.796;22.796;22.796;22.796;35.793;24.500;25.566;25.566;26.632;27.270;42.183;29.828;31.916;31.916;33.830;33.830;52.827;35.218;37.330;37.330;39.458;41.746;62.619;44.668;44.668;49.136;49.136;51.592;77.388;54.172;54.172;56.880;56.880;60.294;90.441;64.514;67.740;67.740;67.740;71.126;106.689;78.240;78.240;83.950;83.950;90.080;135.120;96.610;101.440;101.440;101.440;106.512;171.753;125.952;125.952;138.546;152.402;167.642;265.293;194.548;194.548;217.894;217.894;248.400;372.600;285.660;322.796;355.076;401.236;437.346;728.181;606.818;728.182;815.564;901.200;973.296;1.518.342;1.012.228;1.113.450;1.113.450;1.202.526;1.202.526;1.839.870;1.312.440;1.312.440;1.343.939;1.392.320;1.392.320;2.130.249;1.469.872;1.469.872;1.469.872;1.572.764;1.572.764;2.359.146;1.572.764;1.572.764;1.572.764;1.572.764;1.572.764;2.359.146;1.572.764;1.572.764;1.572.764;1.572.764;1.572.764;2.359.146;
22;9.690;10.174;10.174;10.734;10.734;17.019;11.346;12.084;12.084;12.894;12.894;19.341;12.894;13.538;13.538;14.214;14.214;22.644;15.096;16.364;16.364;16.364;17.674;26.511;17.674;18.382;18.382;19.116;19.116;20.004;20.004;21.004;21.004;22.182;22.182;33.273;22.182;23.734;23.734;23.734;23.734;37.266;25.508;26.618;26.618;27.728;28.392;43.920;31.054;33.228;33.228;35.222;35.222;54.999;36.666;38.866;38.866;41.082;43.464;65.196;46.508;46.508;51.158;51.158;53.714;80.571;56.400;56.400;59.220;59.220;62.774;94.161;67.168;70.526;70.526;70.526;74.052;111.078;81.458;81.458;87.404;87.404;93.786;140.679;100.584;105.614;105.614;105.614;110.894;178.818;131.132;131.132;144.246;158.670;174.538;276.207;202.552;202.552;226.858;226.858;258.618;387.927;297.410;336.080;369.682;417.740;455.344;758.136;631.778;758.134;849.110;938.400;1.013.472;1.581.015;1.054.010;1.159.400;1.159.400;1.252.152;1.252.152;1.915.800;1.366.600;1.366.600;1.399.398;1.449.777;1.449.777;2.218.164;1.530.540;1.530.540;1.530.540;1.637.678;1.637.678;2.456.517;1.637.678;1.637.678;1.637.678;1.637.678;1.637.678;2.456.517;1.637.678;1.637.678;1.637.678;1.637.678;1.637.678;2.456.517;
23;10.220;10.730;10.730;11.320;11.320;17.949;11.966;12.744;12.744;13.598;13.598;20.397;13.598;14.278;14.278;14.992;14.992;23.883;15.922;17.260;17.260;17.260;18.642;27.963;18.642;19.386;19.386;20.162;20.162;21.098;21.098;22.152;22.152;23.396;23.396;35.094;23.396;25.034;25.034;25.034;25.034;39.303;26.904;28.074;28.074;29.244;29.946;46.323;32.754;35.046;35.046;37.148;37.148;58.008;38.672;40.992;40.992;43.328;45.842;68.763;49.050;49.050;53.956;53.956;56.654;84.981;59.486;59.486;62.460;62.460;66.208;99.312;70.844;74.386;74.386;74.386;78.106;117.159;85.914;85.914;92.186;92.186;98.916;148.374;106.088;111.392;111.392;111.392;116.962;188.601;138.308;138.308;152.138;167.352;184.086;291.318;213.632;213.632;239.268;239.268;272.766;409.149;313.680;354.458;389.904;440.592;480.244;799.608;666.340;799.608;895.562;989.600;1.068.800;1.667.400;1.111.600;1.222.760;1.222.760;1.320.580;1.320.580;2.020.500;1.441.280;1.441.280;1.475.871;1.529.002;1.529.002;2.339.370;1.614.166;1.614.166;1.614.166;1.727.158;1.727.158;2.590.737;1.727.158;1.727.158;1.727.158;1.727.158;1.727.158;2.590.737;1.727.158;1.727.158;1.727.158;1.727.158;1.727.158;2.590.737;
24;10.602;11.132;11.132;11.746;11.746;18.621;12.414;13.222;13.222;14.108;14.108;21.162;14.108;14.812;14.812;15.554;15.554;24.777;16.518;17.906;17.906;17.906;19.340;29.010;19.340;20.112;20.112;20.918;20.918;21.888;21.888;22.982;22.982;24.320;24.320;36.480;24.320;25.972;25.972;25.972;25.972;40.776;27.912;29.126;29.126;30.358;31.068;48.057;33.980;36.358;36.358;38.540;38.540;60.180;40.120;42.528;42.528;44.952;47.560;71.340;50.908;50.908;55.978;55.978;58.776;88.164;61.716;61.716;64.800;64.800;68.688;103.032;73.498;77.172;77.172;77.172;81.030;121.545;89.134;89.134;95.640;95.640;102.622;153.933;110.062;115.566;115.566;115.566;121.344;195.666;143.488;143.488;157.838;173.622;190.984;302.232;221.636;221.636;248.232;248.232;282.984;424.476;325.432;367.738;404.512;457.100;498.238;829.566;691.306;829.568;929.116;1.026.674;1.108.808;1.729.800;1.153.200;1.268.520;1.268.520;1.370.000;1.370.000;2.096.100;1.495.220;1.495.220;1.531.105;1.586.225;1.586.225;2.426.916;1.674.572;1.674.572;1.674.572;1.791.792;1.791.792;2.687.688;1.791.792;1.791.792;1.791.792;1.791.792;1.791.792;2.687.688;1.791.792;1.791.792;1.791.792;1.791.792;1.791.792;2.687.688;
